_id,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
492,Gulbarga Rural,Gulbarga,Nagendrappa Hanmanth Vaddar Nandikur,M,51,IND,SC,211123,123418,589,0.48
493,Gulbarga Rural,Gulbarga,Babuhonna Naik,M,59,BSRC,SC,211123,123418,2113,1.71
494,Gulbarga Rural,Gulbarga,Gopinath Ghanu,M,63,IND,SC,211123,123418,508,0.41
495,Gulbarga Rural,Gulbarga,Ambalgi Maruti Manpade,M,56,CPM,SC,211123,123418,4694,3.8
496,Gulbarga Dakshin,Gulbarga,Abdul Wahab Khan,M,46,IND,GEN,211956,117303,351,0.3
497,Gulbarga Dakshin,Gulbarga,A. B. Hosmani,M,45,RPI(A),GEN,211956,117303,231,0.2
498,Gulbarga Dakshin,Gulbarga,Syad Usman Pasha,M,42,IND,GEN,211956,117303,348,0.3
499,Gulbarga Dakshin,Gulbarga,Vasudev Rao Bheemrao,M,32,BSP,GEN,211956,117303,1444,1.23
500,Gulbarga Dakshin,Gulbarga,Kailash Veerendra Patil,M,62,INC,GEN,211956,117303,22074,18.82
501,Gulbarga Dakshin,Gulbarga,S.K.Kanta,M,73,KJP,GEN,211956,117303,22065,18.81
502,Gulbarga Dakshin,Gulbarga,Sandeep. S. Patil,M,31,IND,GEN,211956,117303,292,0.25
