const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
67,Ron,2671,224989,2018,1.1871691504918018,1.1871691504918018
68,Nargund,1173,187655,2018,0.6250832645013455,0.6250832645013455
69,Navalgund,1914,204041,2018,0.9380467651109337,0.9380467651109337
70,Kundgol,1032,187513,2018,0.5503618415789838,0.5503618415789838
71,Dharwad,1967,207025,2018,0.9501267962806423,0.9501267962806423
72,Hubli-Dharwad East,1260,194209,2018,0.6487855866617922,0.6487855866617922
73,Hubli-Dharwad Central,1028,242736,2018,0.4235053720914903,0.4235053720914903
74,Hubli-Dharwad West,1962,255252,2018,0.768652155516901,0.768652155516901
75,Kalghatgi,1440,189693,2018,0.7591213170754851,0.7591213170754851
76,Haliyal,1277,172196,2018,0.7415967850588864,0.7415967850588864
77,Karwar,2359,217910,2018,1.0825570189527787,1.0825570189527787
78,Kumta,2192,180394,2018,1.2151180194463231,1.2151180194463231
79,Bhatkal,1986,214750,2018,0.9247962747380675,0.9247962747380675
80,Sirsi,1935,190834,2018,1.0139702568724651,1.0139702568724651
81,Yellapur,1421,170510,2018,0.8333822063222098,0.8333822063222098
82,Hangal,731,194354,2018,0.37611780565360114,0.37611780565360114
83,Shiggaon,1089,213210,2018,0.5107640354579991,0.5107640354579991
84,Haveri,2062,221791,2018,0.9297040907881745,0.9297040907881745
85,Byadgi,1469,200878,2018,0.7312896384870419,0.7312896384870419
86,Hirekerur,972,179355,2018,0.5419419586852889,0.5419419586852889
87,Ranibennur,1420,230349,2018,0.6164558995263709,0.6164558995263709
88,Hadagalli,2025,182959,2018,1.1068053498324761,1.1068053498324761
89,Hagaribommanahalli,1345,221213,2018,0.6080112832428474,0.6080112832428474
90,Vijayanagara,1754,229253,2018,0.7650935865615718,0.7650935865615718
91,Kampli,2125,212841,2018,0.9983978650729888,0.9983978650729888
92,Siruguppa,1997,203092,2018,0.9832982096783724,0.9832982096783724
93,Bellary,1695,219291,2018,0.7729455381205795,0.7729455381205795
