,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
71,Sandur,E Tukaram,INC,56.0,0.0,28805985.0,8825000.0,Postgraduates,"M.A. From Gulbarga University, Gulbarga - Nandi Halli Postgraduate Center, Sandur in 1992, PGDBA from St. Josephs University, Bengaluru In 1993",ST,Bellary,Social service,Social Service,Social Work / Activism,Social Work / Activism,85223,M,1,111839,111416,26,223281,95,172833
72,Shirahatti,Dr.Chandru Lamani,BJP,34.0,1.0,61483532.0,40495379.0,Doctorates,"MD From ESI Post Graduate Medical Science Research Bangalore-2018, Rajiv Gandhi Arogya Science University Karnataka",SC,Gadag,Doctor,Household and Business,Medicine / Healthcare,Business / Entrepreneurship,74489,M,0,113885,112922,14,226821,65,163974
73,Raichur,Dr. Shivaraj Patil,BJP,52.0,0.0,196791788.0,52665557.0,Postgraduates,"M.D.General Medicine, M.R.Medical college, Gulbarga University, Karnataka-1998",GEN,Raichur,Private Medical Consultant and Agriculturist,House Wife and Agriculturist,Medicine / Healthcare,"Agriculture / Farming, Not Given",69655,M,1,114978,117619,101,232698,54,145343
74,Bhalki,Eshwar Khandre,INC,61.0,7.0,87442877.0,5802106.0,Diploma Holders,B.E. from PDA College of Engineering Gulbarga in 1985,GEN,Bidar,Social Service and Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming,99451,M,1,120172,110546,3,230721,51,174778
75,Sedam,Dr. Sharanprakash Rudrappa Patil,INC,55.0,3.0,287095878.0,143053723.0,Doctorates,"MD (Skin VD) from MR Medical College, Gulbarga University, Kalaburagi in 1995",GEN,Gulbarga,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,93377,M,0,111530,114085,30,225645,41,175997
76,Bidar South,Dr. Shailendra Beldale,BJP,49.0,1.0,44903000.0,25800000.0,Graduates,"Bachelor of Homeopathy Medical Science, HKE Societys Homeopathy Medical College, Gulbarge University, Gulbarge in 1996",GEN,Bidar,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,49872,M,0,105464,98791,3,204258,49,153384
77,Kunigal,Dr H.D. Ranganath,INC,52.0,8.0,388026317.0,116999658.0,Doctorates,"M.S. (Ortho) from JS Medical College, Mysore in 1998 to 2001, MBBS from KIMS, Bangalore in 1989-1996",GEN,Tumkur,Doctor (Medical Profession),Doctor (Medical Profession),Medicine / Healthcare,Medicine / Healthcare,74724,M,1,99148,98113,3,197264,131,174277
78,Doddaballapur,Dheeraj Muniraj,BJP,31.0,1.0,9761196.0,4000000.0,Postgraduates,"Bachelor of Engineering in Electronics and Communications, R V College of Engineering, Bengaluru in the 2014 and Master of Science in Engineering, Texas A M University, College of Station Texas America (USA) - 2016",GEN,Bangalore Rural,Business and Social Service,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,85144,M,0,106121,107079,2,213202,180,182365
79,Tumkur City,G.B. Jyothi Ganesh,BJP,47.0,0.0,345946757.0,72584713.0,Postgraduates,"Post Graduate Diploma in Management Science from Sri Dharmasthala Manjunatheshwara Institute for Management Development, Mysore in 1999, B.E from Mechanical Engineering Siddaganga Institute of Technology Tumkur, Bangalore University in 1996.",GEN,Tumkur,"BE, MBA",BA,"Engineering / Technology, Consulting / Advisory",Cound't Classify,59165,M,1,127001,131848,26,258875,132,175085
80,Byndoor,Gururaj Shetty Gantihole,BJP,42.0,1.0,97541010.0,179514300.0,Diploma Holders,"Diploma in Electrical and Electronics, Karnataka Polytechnic, Mangalore in 2003",GEN,Udupi,Business and Agriculturist,Agriculturist Business,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship",98628,M,0,115346,120319,3,235668,118,185683
