,name,age,gender,party,votes,percent_votes,constituency,constituency_category,total_electors,voter_turnout
200,M.S. Somalingappa,58.0,M,BJP,82546,54.25268318972599,Siruguppa,ST,203092,152151
201,S.Kumara Bangarappa,55.0,M,BJP,72091,46.15478187382357,Sorab,GEN,184621,156194
202,T D Rajegowda,58.0,M,INC,62780,45.80709652470212,Sringeri,GEN,166026,137053
203,K R Ramesh Kumar,68.0,M,INC,93571,50.71379018795933,Srinivaspur,GEN,206007,184508
204,Angara.S,54.0,M,BJP,95205,56.53100729164193,Sullia,SC,198823,168412
205,Ashvin Kumar.M,36.0,M,JD(S),83929,54.04801463106784,T.Narasipur,SC,198441,155286
206,D S Suresh,50.0,M,BJP,44940,30.04151263762342,Tarikere,GEN,182919,149593
207,Siddu Savadi,59.0,M,BJP,87583,50.44813086803755,Terdal,GEN,220421,173610
208,B.C. Nagesh,59.0,M,BJP,61383,40.49785249157161,Tiptur,GEN,181513,151571
209,Araga Jnanendra,65.0,M,BJP,67527,43.03275554422636,Tirthahalli,GEN,184189,156920
210,G.B. Jyothi Ganesh,42.0,M,BJP,60421,35.56875511417488,Tumkur City,GEN,259542,169871
211,D C Gowrishankar,41.0,M,JD(S),82740,48.01197688183274,Tumkur Rural,GEN,201767,172332
212,Jayaram A S,50.0,M,BJP,60710,39.54044249343815,Turuvekere,GEN,181202,153539
213,K Raghupathi Bhat,49.0,M,BJP,84946,52.30503986946215,Udupi,GEN,207458,162405
214,Yathindra S,37.0,M,INC,96435,55.09060372012248,Varuna,GEN,221053,175048
215,M. Krishnappa,66.0,M,INC,73353,46.89969565995754,Vijay Nagar,GEN,312449,156404
216,Anand Singh,52.0,M,INC,83214,50.08968879792934,Vijayanagara,GEN,229253,166130
217,K G Bopaiah,65.0,M,BJP,77944,49.40293588215906,Virajpet,GEN,217457,157772
218,Venkatreddy Mudnal,63.0,M,BJP,62227,43.07887212787904,Yadgir,GEN,235682,144449
219,S.R.Vishwanath,55.0,M,BJP,120110,48.99749117833031,Yelahanka,GEN,387663,245135
220,Achar Halappa Basappa,66.0,M,BJP,79072,48.019335993246976,Yelburga,GEN,207232,164667
221,Arabail Hebbar Shivaram,61.0,M,INC,66290,47.258521005767406,Yellapur,GEN,170510,140271
222,Satish. L. Jarkiholi,56.0,M,INC,73512,49.1613835165717,Yemkanmardi,ST,188279,149532
223,S.T Somashekhar,60.0,M,INC,115273,40.13613969116137,Yeshvanthapura,GEN,474817,287205
